Date,Song,Artist,Peak Position,Weeks in Charts
2024-04-24,Jealous,Future & Metro Boomin,1,-
2024-01-03,Jingle Bell Rock,Bobby Helms,3,56
2024-01-03,Jingle Bells,Frank Sinatra With The Orchestra & Chorus Of Gordon Jenkins,16,14
2023-10-11,Johnny Dang,That Mexican OT| Paul Wall & DRODi,65,12
2024-04-24,Jolene,Beyonce,7,3
2024-04-10,Just For Fun,Beyonce & Willie Jones,1,-
2024-01-24,Just Like Me,21 Savage| Burna Boy & Metro Boomin,1,-
2023-09-20,K-POP,Travis Scott| Bad Bunny & The Weeknd,7,8
2023-10-11,Karma,Taylor Swift Featuring Ice Spice,2,30
2023-09-13,Keep Going Up!,Timbaland| Nelly Furtado & Justin Timberlake,1,-
2023-09-27,Keep It G,Rod Wave,1,-
2024-08-28,Kehlani,Jordan Adetunji,25,9
2024-02-22,Keys To My Life,¥$: Kanye West & Ty Dolla $ign,1,-
2024-01-17,Kill Bill,SZA,1,52
2024-02-22,King,¥$: Kanye West & Ty Dolla $ign,1,-
2024-06-26,Kryptonite,Don Toliver,1,-
2024-07-10,L'amour De Ma Vie,Billie Eilish,22,7
2023-11-22,LALALALA,Stray Kids,1,-
2024-05-08,La Diabla,Xavi,20,20
2024-05-22,La Durango,Peso Pluma| Junior H & Eslabon Armado,1,-
2024-02-07,La Intencion,Christian Nodal & Peso Pluma,1,-
2024-08-28,La Patrulla,Peso Pluma & Neton Vega,75,5
2024-04-10,La People II,Peso Pluma| Tito Double P & Joel de La P,69,2
2024-04-03,La Victima,Xavi,46,15
2023-11-29,LaLa,Myke Towers,43,20
2023-12-06,Labios Mordidos,Kali Uchis & Karol G,1,-
2024-01-17,Lace It,Juice WRLD| Eminem & benny blanco,85,4
2023-10-04,Lacy,Olivia Rodrigo,23,3
2023-11-15,Lady Gaga,Peso Pluma| Gabito Ballesteros & Junior H,35,20
2023-09-20,Lagunas,Peso Pluma & Jasiel Nunez,9,-
2024-01-03,Last Christmas,Wham!,4,38
2024-03-27,Last Night,Morgan Wallen,1,60
2023-09-20,Last Time I Saw You,Nicki Minaj,23,2
2024-01-03,Let It Snow; Let It Snow; Let It Snow!,Dean Martin,7,31
2023-12-20,Let Me Calm Down,Nicki Minaj Featuring J. Cole,1,-
2024-07-10,Let Your Boys Be Country,Jason Aldean,83,4
2024-05-15,Let's Go,Key Glock & Young Dolph,59,9
2024-01-24,Letter To My Brudda,21 Savage,1,-
2024-04-17,Levii's Jeans,Beyonce & Post Malone,16,2
2024-08-14,Liar,Jelly Roll,1,-
2024-08-28,Lies Lies Lies,Morgan Wallen,7,7
2024-07-17,Like Ida,Zach Bryan,1,-
2024-01-03,Like It's Christmas,Jonas Brothers,40,7
2024-08-28,Like That,Future| Metro Boomin & Kendrick Lamar,1,22
2024-03-27,Like What (Freestyle),Cardi B,38,3
2024-02-14,Lil Boo Thang,Paul Russell,14,21
2024-08-07,Linger (SiriusXM Session),Royel Otis,1,-
2024-08-07,Lithonia,Childish Gambino,69,3
2024-01-03,Little Saint Nick,The Beach Boys,25,8
2023-10-04,Logical,Olivia Rodrigo,20,3
2024-08-28,Lonely Road,mgk & Jelly Roll,33,4
2023-10-11,Long Journey,Rod Wave,39,3
2023-10-25,Los Pits,Bad Bunny,1,-
2024-08-28,Lose Control,Teddy Swims,1,54
2024-05-22,Lose My Breath,Stray Kids Featuring Charlie Puth,1,-
2024-08-28,Losers,Post Malone Featuring Jelly Roll,1,-
2023-09-27,Love For A Thug,Rod Wave,1,-
2023-10-04,Love Is Embarrassing,Olivia Rodrigo,25,3
2024-03-06,Love On,Selena Gomez,1,-
2023-09-27,Love Story/Interlude,Rod Wave,1,-
2023-10-04,Love You Anyway,Luke Combs,15,33
2024-08-28,Love You; Miss You; Mean It,Luke Bryan,87,3
2024-08-07,Lovin On Me,Jack Harlow,1,38
